Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
77;21101089574;"Revista de Administracao Contemporanea";journal;"19827849, 14156555";"Associacao Nacional de Pos-Graduacao e Pesquisa em Administracao";Yes;Yes;0,266;Q3;13;44;142;2482;172;121;0,70;56,41;38,96;0;Brazil;Latin America;"Associacao Nacional de Pos-Graduacao e Pesquisa em Administracao";"2016, 2019-2026";"Business, Management and Accounting (miscellaneous) (Q3); Management Science and Operations Research (Q3); Public Administration (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
78;66304;"Revista de Geografia Norte Grande";journal;"07183402, 03798682";"Revista de Geografia Norte Grande";Yes;Yes;0,265;Q3;30;42;153;2704;114;146;0,47;64,38;28,75;0;Chile;Latin America;"Revista de Geografia Norte Grande";"1981, 1983, 2000, 2004-2025";"Earth-Surface Processes (Q3); Geography, Planning and Development (Q3)";"Earth and Planetary Sciences; Social Sciences"
79;21101027250;"Revista Chilena de Derecho Privado";journal;"07180233, 07188072";"Universidad Diego Portales";Yes;Yes;0,264;Q2;5;28;62;1922;19;62;0,24;68,64;37,04;0;Chile;Latin America;"Universidad Diego Portales";"2019-2025";"Law (Q2)";"Social Sciences"
80;21100856604;"Revista Electronica Educare";journal;"14094258";"Universidad Nacional";Yes;Yes;0,263;Q3;18;52;222;1845;209;222;0,60;35,48;63,24;0;Costa Rica;Latin America;"Universidad Nacional";"2017-2025";"Education (Q3)";"Social Sciences"
81;21101078229;"Revista de Estudios Latinoamericanos sobre Reduccion del Riesgo de Desastres";journal;"07198477";"Corporation for the Management and Reduction of Disaster Risk in Chile (GRID-Chile)";Yes;Yes;0,262;Q3;8;32;89;1478;68;86;0,76;46,19;38,03;0;Chile;Latin America;"Corporation for the Management and Reduction of Disaster Risk in Chile (GRID-Chile)";"2017-2026";"Development (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Ecology (Q3); Social Sciences (miscellaneous) (Q3)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
82;21101089124;"Retos (Ecuador)";journal;"13906291, 13908618";"Universidad Politecnica Salesiana";Yes;Yes;0,260;Q3;14;20;60;976;115;60;1,85;48,80;39,66;0;Ecuador;Latin America;"Universidad Politecnica Salesiana";"2019-2025";"Business and International Management (Q3); Economics and Econometrics (Q3); Management of Technology and Innovation (Q3); Marketing (Q3); Public Administration (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
83;21100400803;"Revista Iberoamericana de Educacion Superior";journal;"20072872";"Elsevier B.V.";Yes;Yes;0,259;Q3;15;27;99;1123;54;99;0,55;41,59;56,00;0;Mexico;Latin America;"Elsevier B.V.";"2015-2026";"Education (Q3)";"Social Sciences"
84;19700175179;"Estudios Constitucionales";journal;"07185200, 07180195";"Universidad de Talca";Yes;Yes;0,256;Q2;18;0;104;0;54;96;0,46;0,00;0,00;0;Chile;Latin America;"Universidad de Talca";"2009-2024";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
85;17600155317;"Revista Brasileira de Linguistica Aplicada";journal;"16760786, 19846398";"Universidade de Minas Gerais";Yes;Yes;0,256;Q2;10;46;119;1974;74;112;0,38;42,91;67,16;0;Brazil;Latin America;"Universidade de Minas Gerais";"2017-2025";"Linguistics and Language (Q2)";"Social Sciences"
86;4900152713;"Revista de Economia e Sociologia Rural";journal;"01032003";"Sociedade Brasileira de Economia e Sociologia Rural";Yes;No;0,253;Q3;25;59;208;2892;160;207;0,74;49,02;38,52;0;Brazil;Latin America;"Sociedade Brasileira de Economia e Sociologia Rural";"2006-2025";"Agronomy and Crop Science (Q3); Economics and Econometrics (Q3); Forestry (Q3); Social Sciences (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Social Sciences"
87;21100824449;"Norteamerica";journal;"18703550, 24487228";"Universidad Nacional Autonoma de Mexico";Yes;Yes;0,252;Q1;8;32;78;1245;33;78;0,31;38,91;19,35;0;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2010-2011, 2016-2026";"Cultural Studies (Q1); Law (Q2); Demography (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Economics, Econometrics and Finance; Social Sciences"
88;21100931880;"Uniciencia";journal;"22153470";"Universidad Nacional";Yes;Yes;0,252;Q3;11;30;114;1322;111;114;0,98;44,07;37,76;1;Costa Rica;Latin America;"Universidad Nacional";"2019-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Earth and Planetary Sciences; Mathematics; Physics and Astronomy; Social Sciences"
89;21100202750;"Historia (Chile)";journal;"00732435, 07177194";"Pontificia Universidad Catolica de Chile";Yes;Yes;0,251;Q1;18;19;65;2454;31;64;0,42;129,16;22,22;0;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"1999, 2002, 2007-2025";"Cultural Studies (Q1); History (Q1); History and Philosophy of Science (Q2)";"Arts and Humanities; Social Sciences"
90;5100155019;"Estudios Pedagogicos";journal;"07180705, 0716050X";"Universidad Austral de Chile";Yes;Yes;0,251;Q3;33;38;240;1577;150;236;0,48;41,50;58,10;0;Chile;Latin America;"Universidad Austral de Chile";"1997-2002, 2006-2025";"Education (Q3)";"Social Sciences"
91;20000195050;"Paideia";journal;"0103863X, 19824327";"Universidade de Sao Paulo 1";Yes;Yes;0,251;Q3;24;28;119;847;86;118;0,52;30,25;75,90;0;Brazil;Latin America;"Universidade de Sao Paulo 1";"2011-2026";"Education (Q3); Psychology (miscellaneous) (Q3)";"Psychology; Social Sciences"
92;21101065161;"Ciencias Psicologicas";journal;"16884221, 16884094";"Universidad Catolica del Uruguay";Yes;Yes;0,250;Q3;9;43;126;2350;91;123;0,66;54,65;48,15;0;Uruguay;Latin America;"Universidad Catolica del Uruguay";"2019-2025";"Education (Q3); Health (social science) (Q3); Psychology (miscellaneous) (Q3); Neuroscience (miscellaneous) (Q4)";"Neuroscience; Psychology; Social Sciences"
93;21101152096;"Latin American Legal Studies";journal;"07199104, 07199112";"Universidad Adolfo Ibanez";Yes;Yes;0,249;Q2;4;15;39;949;27;36;0,65;63,27;31,58;0;Chile;Latin America;"Universidad Adolfo Ibanez";"2019-2025";"Law (Q2)";"Social Sciences"
94;10800153304;"Revista Brasileira de Educacao Especial";journal;"14136538";"Associacao Brasileira de Pesquisadores em Educacao Especial";Yes;Yes;0,248;Q3;14;73;130;2564;68;129;0,48;35,12;71,62;0;Brazil;Latin America;"Associacao Brasileira de Pesquisadores em Educacao Especial";"2007-2025";"Education (Q3)";"Social Sciences"
95;100069;"Historia (Brazil)";journal;"01019074, 19804369";"Universidade Estadual Paulista (UNESP)";Yes;Yes;0,247;Q2;10;35;123;2045;22;122;0,23;58,43;21,88;0;Brazil;Latin America;"Universidade Estadual Paulista (UNESP)";"2007-2025";"History (Q1); Cultural Studies (Q2)";"Arts and Humanities; Social Sciences"
96;21100935115;"Revista Direito GV";journal;"23176172";"Fundacao Getulio Vargas, Escola de Direito de Sao Paulo";Yes;Yes;0,247;Q2;8;44;124;2005;42;124;0,35;45,57;50,79;0;Brazil;Latin America;"Fundacao Getulio Vargas, Escola de Direito de Sao Paulo";"2019-2026";"Law (Q2)";"Social Sciences"
97;21101146408;"Si Somos Americanos";journal;"07190948, 07182910";"Arturo Prat University";Yes;Yes;0,244;Q2;8;21;47;1303;37;47;0,50;62,05;31,03;0;Chile;Latin America;"Arturo Prat University";"2019-2026";"History (Q1); Cultural Studies (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
98;12100155723;"Andamios";journal;"18700063, 25941917";"Universidad Autonoma de la Ciudad de Mexico";Yes;No;0,244;Q3;17;60;162;2200;58;143;0,25;36,67;38,24;0;Mexico;Latin America;"Universidad Autonoma de la Ciudad de Mexico";"2008-2025";"Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
99;5700168481;"Revista Brasileira de Politica Internacional";journal;"19833121, 00347329";"INSTBRASILEIRORELACOESINT";Yes;Yes;0,244;Q3;25;25;75;1422;73;74;0,96;56,88;22,86;0;Brazil;Latin America;"INSTBRASILEIRORELACOESINT";"2008-2025";"History (Q1); Political Science and International Relations (Q3)";"Arts and Humanities; Social Sciences"
100;21100898611;"Mextesol Journal";journal;"23959908";"Asociacion Mexicana de Maestros de Ingles MEXTESOL A.C";Yes;Yes;0,243;Q2;11;49;223;2416;226;223;0,80;49,31;46,59;0;Mexico;Latin America;"Asociacion Mexicana de Maestros de Ingles MEXTESOL A.C";"2018-2026";"Cultural Studies (Q2); Linguistics and Language (Q2); Education (Q3)";"Social Sciences"
101;21100902661;"Acta Scientiae";journal;"15174492, 21787727";"Lutheran University of Brazil";No;No;0,243;Q3;11;27;180;846;113;180;0,60;31,33;51,67;0;Brazil;Latin America;"Lutheran University of Brazil";"2018-2026";"Multidisciplinary (Q2); Education (Q3)";"Multidisciplinary; Social Sciences"
102;23554;"Problemas del Desarrollo";journal;"03017036, 20078951";"Universidad Nacional Autonoma de Mexico";Yes;Yes;0,242;Q3;14;25;82;1197;46;82;0,54;47,88;34,78;1;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1979-1980, 1992-1993, 2009-2025";"Development (Q3); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
103;21101279753;"Boletin de Arqueologia PUCP";journal;"10292004, 23044292";"Pontificia Universidad Catolica del Peru";No;No;0,241;Q2;3;13;40;631;18;34;0,43;48,54;46,67;0;Peru;Latin America;"Pontificia Universidad Catolica del Peru";"2021-2025";"Archeology (Q2); Archeology (arts and humanities) (Q2)";"Arts and Humanities; Social Sciences"
104;21101089001;"Juridicas CUC";journal;"23897716, 16923030";"Universidad de la Costa";No;No;0,241;Q2;8;21;67;1022;54;64;0,76;48,67;41,86;0;Colombia;Latin America;"Universidad de la Costa";"2019-2025";"Law (Q2)";"Social Sciences"
105;4700152850;"Revista Brasileira de Ensino de Fisica";journal;"01024744";"Sociedade Brasileira de Fisica";Yes;Yes;0,240;Q3;18;160;370;6326;172;369;0,49;39,54;21,15;0;Brazil;Latin America;"Sociedade Brasileira de Fisica";"2006-2026";"Education (Q3); Physics and Astronomy (miscellaneous) (Q3)";"Physics and Astronomy; Social Sciences"
106;5800169849;"Colombia Internacional";journal;"19006004, 01215612";"Universidad de los Andes, Colombia";Yes;Yes;0,239;Q3;18;20;85;1414;68;85;0,60;70,70;52,94;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"2011-2026";"History (Q1); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
107;21100824951;"Revista Brasileira de Politicas Publicas";journal;"22361677, 21798338";"Centro Universitario de Brasilia";Yes;Yes;0,238;Q3;9;51;201;2089;42;200;0,20;40,96;41,67;0;Brazil;Latin America;"Centro Universitario de Brasilia";"2017-2025";"Public Administration (Q3)";"Social Sciences"
108;21101142418;"Disena";journal;"07188447, 24524298";"Pontificia Universidad Catolica de Chile";Yes;Yes;0,237;Q3;8;15;57;429;69;51;1,39;28,60;35,29;0;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2019-2025";"Arts and Humanities (miscellaneous) (Q2); Engineering (miscellaneous) (Q3); Human Factors and Ergonomics (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Engineering; Social Sciences"
109;19700183093;"Revista Austral de Ciencias Sociales";journal;"07173202, 07181795";"Universidad Austral de Chile";Yes;Yes;0,237;Q3;12;50;95;2461;43;95;0,44;49,22;57,00;0;Chile;Latin America;"Universidad Austral de Chile";"2008-2010, 2012-2025";"Social Sciences (miscellaneous) (Q3)";"Social Sciences"
110;26787;"Boletin de Investigaciones Marinas y Costeras";journal;"25904671, 01229761";"INVEMAR";Yes;Yes;0,236;Q3;18;19;62;919;42;62;0,76;48,37;32,65;0;Colombia;Latin America;"INVEMAR";"1998, 2001-2025";"Conservation (Q2); Museology (Q2); Animal Science and Zoology (Q3); Aquatic Science (Q3); Geography, Planning and Development (Q3); Law (Q3); Management, Monitoring, Policy and Law (Q3); Oceanography (Q3); Water Science and Technology (Q3)";"Agricultural and Biological Sciences; Arts and Humanities; Earth and Planetary Sciences; Environmental Science; Social Sciences"
111;21101123123;"Autoctonia";journal;"07198213";"Universidad Bernardo O'Higgins";Yes;Yes;0,235;Q3;4;71;157;3798;42;150;0,27;53,49;48,36;2;Chile;Latin America;"Universidad Bernardo O'Higgins";"2019-2026";"History (Q1); Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
112;22826;"Gestion y Politica Publica";journal;"14051079, 24489182";"Centro de Investigacion y Docencia Economicas A.C.";Yes;No;0,233;Q3;16;9;29;673;23;28;0,78;74,78;61,54;0;Mexico;Latin America;"Centro de Investigacion y Docencia Economicas A.C.";"1995-2025";"Political Science and International Relations (Q3); Public Administration (Q3)";"Social Sciences"
113;21100896905;"Pensamiento Educativo";journal;"07190409, 07171013";"Pontificia Universidad Catolica de Chile";Yes;Yes;0,233;Q3;13;25;74;1433;70;74;0,98;57,32;48,28;0;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2018-2025";"Development (Q3); Education (Q3)";"Social Sciences"
114;21100900129;"Childhood and Philosophy";journal;"25255061, 19845987";"State Univ of Rio de Janeiro - Center of Childhood and Philosophy Studies";Yes;Yes;0,231;Q3;8;43;118;1654;59;118;0,60;38,47;53,85;0;Brazil;Latin America;"State Univ of Rio de Janeiro - Center of Childhood and Philosophy Studies";"2018-2026";"Philosophy (Q2); Education (Q3); Developmental and Educational Psychology (Q4)";"Arts and Humanities; Psychology; Social Sciences"
115;5600153133;"Sociedade e Estado";journal;"19805462, 01026992";"Universidade de Brasilia";Yes;Yes;0,231;Q3;23;35;117;1586;48;107;0,28;45,31;58,82;0;Brazil;Latin America;"Universidade de Brasilia";"2007-2025";"Geography, Planning and Development (Q3); Sociology and Political Science (Q3)";"Social Sciences"
116;21100863622;"Brazilian Journalism Research";journal;"18084079, 19819854";"Associacao Brasileira de Pesquisadores de Jornalismo";Yes;Yes;0,229;Q3;10;18;73;876;48;71;0,42;48,67;40,00;0;Brazil;Latin America;"Associacao Brasileira de Pesquisadores de Jornalismo";"2018-2025";"Communication (Q3)";"Social Sciences"
117;21100833036;"Texto Livre";journal;"19833652";"Lundiana";Yes;Yes;0,225;Q2;12;55;169;2086;119;167;0,72;37,93;44,14;0;Brazil;Latin America;"Lundiana";"2017-2026";"Linguistics and Language (Q2); Communication (Q3); Education (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
118;21101196449;"Lengua y Sociedad";journal;"17299721, 24132659";"Universidad Nacional Mayor de San Marcos";Yes;Yes;0,224;Q2;5;76;142;2902;68;142;0,48;38,18;62,04;0;Peru;Latin America;"Universidad Nacional Mayor de San Marcos";"2023-2025";"Linguistics and Language (Q2)";"Social Sciences"
119;5800207867;"Lenguas Modernas";journal;"07195443, 07160542";"Universidad de Chile";Yes;Yes;0,224;Q2;10;6;62;342;45;60;0,90;57,00;55,56;0;Chile;Latin America;"Universidad de Chile";"2015-2025";"Linguistics and Language (Q2)";"Social Sciences"
120;19900191750;"Motriz. Revista de Educacao Fisica";journal;"14159805, 19806574";"Universidade Estadual Paulista (UNESP)";Yes;Yes;0,221;Q3;25;29;114;1176;89;114;0,56;40,55;43,61;0;Brazil;Latin America;"Universidade Estadual Paulista (UNESP)";"2010-2025";"Health (social science) (Q3); Medicine (miscellaneous) (Q4); Sports Science (Q4)";"Health Professions; Medicine; Social Sciences"
121;21100215170;"Palabra Clave";journal;"01228285, 2027534X";"Universidad de La Sabana";Yes;Yes;0,220;Q3;18;39;107;1865;82;103;0,67;47,82;56,98;0;Colombia;Latin America;"Universidad de La Sabana";"2012-2026";"Arts and Humanities (miscellaneous) (Q2); Communication (Q3)";"Arts and Humanities; Social Sciences"
122;12100155657;"Mundo Agrario";journal;"15155994";"Universidad Nacional de La Plata";Yes;Yes;0,218;Q3;12;48;79;1961;29;79;0,35;40,85;62,50;0;Argentina;Latin America;"Universidad Nacional de La Plata";"2008-2025";"History (Q1); Agricultural and Biological Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3); Industrial Relations (Q3); Urban Studies (Q3)";"Agricultural and Biological Sciences; Arts and Humanities; Business, Management and Accounting; Social Sciences"
123;21101234844;"Revista Pesquisa Qualitativa";journal;"25258222";"Sociedade de Estudos e Pesquisa Qualitativos";No;No;0,218;Q3;7;90;115;3136;58;114;0,47;34,84;62,84;0;Brazil;Latin America;"Sociedade de Estudos e Pesquisa Qualitativos";"2020-2026";"History and Philosophy of Science (Q2); Education (Q3); Health (social science) (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
124;14377;"Estudios Sociologicos";journal;"01854186, 24486442";"Colegio de Mexico, A.C., Departamento de Publicaciones";Yes;Yes;0,217;Q3;10;32;176;1340;70;176;0,30;41,88;48,15;0;Mexico;Latin America;"Colegio de Mexico, A.C., Departamento de Publicaciones";"1984-1985, 1992, 1994-1996, 1998, 2014-2025";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
125;5700176609;"Revista Mexicana de Investigacion Educativa";journal;"14056666";"Consejo Mexicano de Investigacion Educativa";Yes;No;0,217;Q3;22;46;162;1639;99;147;0,48;35,63;58,82;0;Mexico;Latin America;"Consejo Mexicano de Investigacion Educativa";"2009, 2012-2026";"Education (Q3)";"Social Sciences"
126;19900193545;"Boletim do Museu Paraense Emilio Goeldi: Ciencias Humanas";journal;"19818122, 21782547";"Museu Paraense Emilio Goeldi";Yes;Yes;0,216;Q2;20;36;126;1901;50;124;0,31;52,81;46,38;0;Brazil;Latin America;"Museu Paraense Emilio Goeldi";"2011-2025";"Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
127;21101018933;"Habitat Sustentable";journal;"07190700";"Universidad del Bio Bio";Yes;Yes;0,216;Q3;7;21;59;665;48;52;0,90;31,67;45,45;0;Chile;Latin America;"Universidad del Bio Bio";"2019-2025";"Architecture (Q2); Geography, Planning and Development (Q3); Urban Studies (Q3); Building and Construction (Q4); Experimental and Cognitive Psychology (Q4); Materials Science (miscellaneous) (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Energy; Engineering; Materials Science; Psychology; Social Sciences"
128;21100896892;"Revista de Administracao Mackenzie";journal;"15186776, 16786971";"Mackenzie Presbyterian University";Yes;Yes;0,214;Q3;20;43;119;2531;145;118;1,12;58,86;40,34;0;Brazil;Latin America;"Mackenzie Presbyterian University";"2008-2025";"Business, Management and Accounting (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Business, Management and Accounting; Social Sciences"
129;21101044933;"Contratexto";journal;"10259945, 19934904";"Universidad de Lima";Yes;Yes;0,213;Q2;5;21;78;910;48;73;0,63;43,33;58,54;0;Peru;Latin America;"Universidad de Lima";"2019-2025";"Linguistics and Language (Q2); Communication (Q3)";"Social Sciences"
130;5800207832;"Estudios de Cultura Maya";journal;"24485179, 01852574";"Universidad Nacional Autonoma de Mexico, Instituto de Investigaciones Filosoficas";Yes;Yes;0,212;Q2;10;22;66;1289;16;66;0,28;58,59;34,78;0;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico, Instituto de Investigaciones Filosoficas";"2013-2025";"Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2); Cultural Studies (Q2)";"Arts and Humanities; Social Sciences"
131;4700152250;"Revista Brasileira de Ciencias Sociais";journal;"01026909, 18069053";"Associacao Nacional de Pos-Graduacao e Pesquisa em Ciencias Sociais - ANPOCS";Yes;No;0,212;Q3;23;37;112;1670;50;111;0,41;45,14;61,54;0;Brazil;Latin America;"Associacao Nacional de Pos-Graduacao e Pesquisa em Ciencias Sociais - ANPOCS";"2006-2025";"Social Sciences (miscellaneous) (Q3)";"Social Sciences"
132;29758;"Revista Mexicana de Fisica";journal;"0035001X";"Sociedad Mexicana de Fisica";Yes;No;0,210;Q3;37;111;334;4385;362;333;1,15;39,50;26,05;0;Mexico;Latin America;"Sociedad Mexicana de Fisica";"1981, 1991-1993, 1995-2026";"Education (Q3); Physics and Astronomy (miscellaneous) (Q4)";"Physics and Astronomy; Social Sciences"
133;21100447821;"Poblacion y Sociedad";journal;"18528562, 03283445";"Portal de Revistas de la Universidad Nacional de La Pampa";Yes;Yes;0,209;Q3;9;15;64;693;24;58;0,39;46,20;48,39;0;Argentina;Latin America;"Portal de Revistas de la Universidad Nacional de La Pampa";"2015-2025";"Demography (Q3)";"Social Sciences"
134;21100454974;"Bakhtiniana";journal;"21764573";"Pontificia Universidade Catolica de Sao Paulo";Yes;Yes;0,208;Q2;8;47;153;1068;73;138;0,67;22,72;56,94;0;Brazil;Latin America;"Pontificia Universidade Catolica de Sao Paulo";"2015-2026";"Literature and Literary Theory (Q1); Linguistics and Language (Q2); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
135;21101163374;"Cuadernos de Linguistica Hispanica";journal;"23461829, 0121053X";"Universidad Pedagogica y Tecnologica de Colombia";Yes;Yes;0,208;Q2;4;21;63;646;23;63;0,40;30,76;36,00;0;Colombia;Latin America;"Universidad Pedagogica y Tecnologica de Colombia";"2019-2025";"Linguistics and Language (Q2)";"Social Sciences"
136;4400151727;"Estudos Avancados";journal;"18069592, 01034014";"Instituto de Estudos Avancados da Universidade de Sao Paulo";Yes;Yes;0,208;Q2;39;64;200;2440;99;192;0,36;38,13;43,06;0;Brazil;Latin America;"Instituto de Estudos Avancados da Universidade de Sao Paulo";"2006-2025";"Cultural Studies (Q2); Sociology and Political Science (Q3)";"Social Sciences"
137;5600155441;"Ambiente e Sociedade";journal;"1414753X";"Universidade Estadual de Campinas UNICAMP";Yes;No;0,208;Q3;28;60;187;2545;108;173;0,39;42,42;45,95;0;Brazil;Latin America;"Universidade Estadual de Campinas UNICAMP";"2006-2025";"Social Sciences (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q4)";"Environmental Science; Social Sciences"
138;6600153105;"Revista Brasileira de Educacao";journal;"1809449X, 14132478";"Revista Brasileira de Educacao";Yes;Yes;0,208;Q3;21;89;258;4058;92;258;0,37;45,60;52,86;0;Brazil;Latin America;"Revista Brasileira de Educacao";"2007-2025";"Education (Q3)";"Social Sciences"
139;19700182354;"Movimento";journal;"19828918, 0104754X";"Universidade Federal do Rio Grande do Sul";Yes;Yes;0,207;Q3;20;71;205;2944;113;205;0,43;41,46;39,02;0;Brazil;Latin America;"Universidade Federal do Rio Grande do Sul";"2010-2025";"Education (Q3)";"Social Sciences"
140;10800153306;"Revista de Administracao Publica";journal;"19823134, 00347612";"Fundacao Getulio Vargas";Yes;Yes;0,207;Q4;29;25;121;1204;93;119;0,71;48,16;42,55;0;Brazil;Latin America;"Fundacao Getulio Vargas";"2007-2025";"Public Administration (Q4)";"Social Sciences"
141;20000195049;"Magis";journal;"20271174, 20271182";"Pontificia Universidad Javeriana";Yes;Yes;0,206;Q3;18;29;80;1251;40;80;0,33;43,14;71,93;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2008-2025";"Education (Q3)";"Social Sciences"
142;21100790345;"Revista Mad";journal;"07180527";"Universidad de Chile";Yes;Yes;0,206;Q3;5;15;41;653;13;39;0,22;43,53;18,75;0;Chile;Latin America;"Universidad de Chile";"2016-2025";"Social Sciences (miscellaneous) (Q3)";"Social Sciences"
143;21100244898;"Antipoda";journal;"19005407, 20114273";"Universidad de los Andes, Colombia";Yes;Yes;0,205;Q2;12;35;77;1720;36;77;0,58;49,14;40,00;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"2013-2026";"Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2); Cultural Studies (Q2)";"Arts and Humanities; Social Sciences"
144;21101063732;"Law of Justice Journal";journal;"14137038, 22383212";"Universidade de Passo Fundo";No;No;0,205;Q3;5;35;91;930;44;90;0,67;26,57;28,57;0;Brazil;Latin America;"Universidade de Passo Fundo";"2019-2025";"Law (Q3)";"Social Sciences"
145;21101218357;"Revista da Defensoria Publica do Distrito Federal";journal;"26745755, 26745739";"Defensoria Publica do Distrito Federal";Yes;Yes;0,205;Q3;2;0;27;0;1;23;0,00;0,00;0,00;0;Brazil;Latin America;"Defensoria Publica do Distrito Federal";"2019-2024";"Law (Q3); Social Sciences (miscellaneous) (Q3)";"Social Sciences"
146;19700170481;"Bitacora Urbano Territorial";journal;"01247913, 2027145X";"Universidad Nacional de Colombia";Yes;Yes;0,204;Q3;12;39;152;996;65;144;0,28;25,54;45,00;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2009-2026";"Arts and Humanities (miscellaneous) (Q2); Geography, Planning and Development (Q3); Urban Studies (Q3)";"Arts and Humanities; Social Sciences"
147;21100897945;"Educacao and Realidade";journal;"01003143, 21756236";"Universidade Federal do Rio Grande do Sul,Faculdade de Educacao";Yes;Yes;0,204;Q3;9;60;185;2219;62;184;0,26;36,98;55,88;0;Brazil;Latin America;"Universidade Federal do Rio Grande do Sul,Faculdade de Educacao";"2018-2025";"Arts and Humanities (miscellaneous) (Q2); Education (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
148;21101225722;"Foro: Revista de Derecho";journal;"26312484, 13902466";"Universidad Andina Simon Olivar, Sede Ecuador";Yes;Yes;0,204;Q3;4;19;60;560;24;53;0,38;29,47;60,00;0;Ecuador;Latin America;"Universidad Andina Simon Olivar, Sede Ecuador";"2020-2026";"Law (Q3)";"Social Sciences"
149;21100305234;"Comunicacion y Sociedad (Mexico)";journal;"0188252X, 24489042";"Universidad de Guadalajara";Yes;Yes;0,203;Q2;15;35;88;1465;56;84;0,51;41,86;50,75;0;Mexico;Latin America;"Universidad de Guadalajara";"2009-2010, 2013-2026";"Cultural Studies (Q2); Communication (Q3)";"Social Sciences"
150;5600153356;"Perfiles Latinoamericanos";journal;"01887653";"Flacso Mexico";Yes;Yes;0,203;Q3;16;26;87;1195;42;87;0,48;45,96;35,90;0;Mexico;Latin America;"Flacso Mexico";"2008-2026";"Sociology and Political Science (Q3)";"Social Sciences"
151;21101152593;"Novos Estudos Juridicos";journal;"21750491";"UNIVALI";No;No;0,202;Q3;2;21;100;797;16;100;0,13;37,95;44,83;0;Brazil;Latin America;"UNIVALI";"2022-2025";"Law (Q3); Management, Monitoring, Policy and Law (Q4)";"Environmental Science; Social Sciences"
152;7000153201;"Estudios Atacamenos";journal;"07181043, 07160925";"Universidad Catolica del Norte";Yes;Yes;0,201;Q2;26;8;51;598;25;51;0,30;74,75;21,43;0;Chile;Latin America;"Universidad Catolica del Norte";"2007-2025";"Archeology (Q2); Archeology (arts and humanities) (Q2); Cultural Studies (Q2); History (Q2); Anthropology (Q3)";"Arts and Humanities; Social Sciences"
