Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
19;5800219327;"Boletin de Filologia";journal;"07189303, 00679674";"Universidad de Chile";Yes;Yes;0,385;Q1;15;34;109;1488;49;108;0,56;43,76;52,78;0;Chile;Latin America;"Universidad de Chile";"2014-2025";"History (Q1); Linguistics and Language (Q1); Literature and Literary Theory (Q1)";"Arts and Humanities; Social Sciences"
20;89299;"Revista Brasileira de Estudos de Populacao";journal;"01023098";"Associacao Brasileira de Estudos Populacionais";Yes;Yes;0,373;Q2;19;28;103;1207;74;95;0,50;43,11;43,10;0;Brazil;Latin America;"Associacao Brasileira de Estudos Populacionais";"1984-1992, 1996, 2007-2025";"Demography (Q2)";"Social Sciences"
21;21100416511;"Ethnobiology and Conservation";journal;"22384782";"Universidade Federal Rural de Pernambuco";Yes;No;0,372;Q2;23;38;88;2492;139;85;1,59;65,58;48,48;0;Brazil;Latin America;"Universidade Federal Rural de Pernambuco";"2012-2025";"Animal Science and Zoology (Q2); Anthropology (Q2); Nature and Landscape Conservation (Q2); Plant Science (Q2); Ecology (Q3)";"Agricultural and Biological Sciences; Environmental Science; Social Sciences"
22;21100399153;"Boletin del Museo Chileno de Arte Precolombino";journal;"07161530, 07186894";"Museo Chileno de Arte Precolombino";Yes;Yes;0,371;Q1;12;9;56;491;32;49;0,66;54,56;36,36;0;Chile;Latin America;"Museo Chileno de Arte Precolombino";"2014-2025";"Archeology (Q1); Archeology (arts and humanities) (Q1); Visual Arts and Performing Arts (Q1); Anthropology (Q2)";"Arts and Humanities; Social Sciences"
23;21100886398;"Profile: Issues in Teachers' Professional Development";journal;"16570790, 22565760";"Universidad Nacional de Colombia";Yes;Yes;0,370;Q1;16;26;88;1069;109;82;1,25;41,12;53,33;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2018-2026";"Linguistics and Language (Q1); Education (Q3)";"Social Sciences"
24;5800156831;"RLA";journal;"0033698X, 07184883";"Universidad de Concepcion";Yes;No;0,367;Q1;19;8;46;347;29;43;0,57;43,38;64,29;0;Chile;Latin America;"Universidad de Concepcion";"2008-2025";"Linguistics and Language (Q1); Education (Q3)";"Social Sciences"
25;21100432126;"Revista Derecho del Estado";journal;"23462051, 01229893";"Universidad Externado de Colombia";Yes;Yes;0,359;Q2;10;39;133;1692;77;129;0,72;43,38;36,96;0;Colombia;Latin America;"Universidad Externado de Colombia";"2015-2026";"Law (Q2)";"Social Sciences"
26;25953;"Dados";journal;"16784588, 00115258";"Instituto de Estudos Sociais e Politicos (IESP), UERJ";Yes;Yes;0,344;Q2;34;68;92;4441;73;91;1,02;65,31;32,08;5;Brazil;Latin America;"Instituto de Estudos Sociais e Politicos (IESP), UERJ";"1996-2025";"Social Sciences (miscellaneous) (Q2)";"Social Sciences"
27;5100154604;"Ius et Praxis";journal;"07180012, 07172877";"Universidad de Talca";Yes;Yes;0,340;Q2;15;11;137;519;76;128;0,47;47,18;66,67;0;Chile;Latin America;"Universidad de Talca";"2001-2002, 2006-2025";"Law (Q2)";"Social Sciences"
28;5700160329;"Migraciones Internacionales";journal;"16658906, 25940279";"El Colegio de la Frontera Norte";Yes;Yes;0,340;Q2;17;26;75;1415;69;73;0,82;54,42;51,16;0;Mexico;Latin America;"El Colegio de la Frontera Norte";"2009-2026";"Demography (Q2); Geography, Planning and Development (Q3)";"Social Sciences"
29;21100940999;"Revista Latinoamericana de Ciencias Sociales, Ninez y Juventud";journal;"20277679, 1692715X";"Revista Latinoamericana de Ciencias Sociales";Yes;Yes;0,340;Q2;11;49;174;2662;152;172;0,75;54,33;58,27;0;Colombia;Latin America;"Revista Latinoamericana de Ciencias Sociales";"2019-2025";"Social Sciences (miscellaneous) (Q2); Developmental and Educational Psychology (Q3)";"Psychology; Social Sciences"
30;21101040630;"Revista de Derecho Ambiental (Chile)";journal;"07180101, 07194633";"Universidad de Chile. Centro de Derecho Ambiental";Yes;Yes;0,338;Q2;5;14;50;433;36;47;0,67;30,93;38,46;0;Chile;Latin America;"Universidad de Chile. Centro de Derecho Ambiental";"2019-2025";"Law (Q2); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q3)";"Energy; Environmental Science; Social Sciences"
31;21100899904;"Brazilian Journal of Occupational Therapy";journal;"25268910";"Universidade Federal de Sao Carlos";Yes;No;0,337;Q3;16;95;316;4168;302;307;0,73;43,87;75,79;0;Brazil;Latin America;"Universidade Federal de Sao Carlos";"2018-2026";"Occupational Therapy (Q2); Education (Q3); Health (social science) (Q3)";"Health Professions; Social Sciences"
32;21100200407;"Arqueologia";journal;"18538126, 03275159";"University of Buenos Aires";Yes;Yes;0,336;Q2;12;27;86;1550;49;83;0,51;57,41;47,22;0;Argentina;Latin America;"University of Buenos Aires";"2011-2026";"Archeology (arts and humanities) (Q1); Archeology (Q2)";"Arts and Humanities; Social Sciences"
33;21100248874;"Dilemas";journal;"19835922, 21782792";"Universidade Federal do Rio de Janeiro";Yes;Yes;0,334;Q2;14;45;149;2312;64;147;0,18;51,38;43,33;0;Brazil;Latin America;"Universidade Federal do Rio de Janeiro";"2013-2025";"Law (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
