Rank Arts and Humanities;Revista;ISSN;Editorial;País;Sitio web oficial;Estado de verificación;Fuente de verificación;Observación
154;Scripta Mediaevalia;18518753, 23624868;Editorial de la Facultad de Filosofia y Letras de la Universidad Nacional de Cuyo;Argentina;https://revistas.uncu.edu.ar/ojs3/index.php/scripta;Verificado manualmente;https://revistas.uncu.edu.ar/ojs3/index.php/scripta;"Portal oficial de revistas de la Universidad Nacional de Cuyo; ISSN 1851-8753 y 2362-4868."
157;Revista Brasileira de Historia da Ciencia;19834713, 21763275;Sociedade Brasileira de Historia da Ciencia;Brazil;https://rbhciencia.emnuvens.com.br/revista/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/dc2843687cb444f7af483a9c2e648568;"Coincidencia exacta de ISSN con el registro DOAJ de «Revista Brasileira de História da Ciência»; editorial declarada: Sociedade Brasileira de História da Ciência."
158;Signos Historicos;16654420;Universidad Autonoma Metropolitana;Mexico;https://signoshistoricos.izt.uam.mx/index.php/historicos;Verificado manualmente;https://signoshistoricos.izt.uam.mx/index.php/historicos;"Sitio oficial de la Universidad Autónoma Metropolitana; ISSN 1665-4420."
159;Estudos Ibero-Americanos;1980864X, 01014064;Editora da P U C R S;Brazil;https://revistaseletronicas.pucrs.br/ojs/index.php/iberoamericana;Verificado por ISSN en DOAJ;https://doaj.org/toc/6f3540f4f2254d7d909ea4b3accbce7c;"Coincidencia exacta de ISSN con el registro DOAJ de «Estudos Ibero Americanos»; editorial declarada: Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS)."
160;Filosofia Unisinos;15195023, 19848234;Universidade do Vale do Rio dos Sinos;Brazil;https://revistas.unisinos.br/index.php/filosofia/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/4143d186ad23487ab53f635210cc21c2;"Coincidencia exacta de ISSN con el registro DOAJ de «Filosofia Unisinos»; editorial declarada: Universidade do Vale do Rio dos Sinos."
163;Revista Latinoamericana de Filosofia;03250725, 18527353;Centro de Investigaciones Filosoficas;Argentina;https://rlfcif.org.ar/index.php/RLF/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/a2b4d945c1da442087d7eca4fb1f66ce;"Coincidencia exacta de ISSN con el registro DOAJ de «Revista Latinoamericana de Filosofía»; editorial declarada: Centro de Investigaciones Filosóficas."
164;Tzintzun;2007963X, 1870719X;Instituto de investigaciones historicas, Universidad Michoacana;Mexico;https://tzintzun.umich.mx/;Verificado manualmente;https://tzintzun.umich.mx/;"Sitio oficial del Instituto de Investigaciones Históricas de la Universidad Michoacana; ISSN 1870-719X y 2007-963X."
165;Signos Filosoficos;16651324;Universidad Autonoma Metropolitana, Department of Philosophy;Mexico;https://signosfilosoficos.izt.uam.mx/index.php/SF;Verificado manualmente;https://signosfilosoficos.izt.uam.mx/index.php/SF;"Sitio oficial de la Universidad Autónoma Metropolitana; ISSN 1665-1324."
166;Anales de Literatura Chilena;07176058;Pontificia Universidad Catolica de Chile;Chile;https://analesliteraturachilena.letras.uc.cl/index.php/alch/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/d0902f0f05714e5c8ece374583f241c5;"Coincidencia exacta de ISSN con el registro DOAJ de «Anales de Literatura Chilena»; editorial declarada: Centro de Estudios de Literatura Chilena, Pontificia Universidad Católica de Chilea."
170;Boletin del Instituto de Historia Argentina y Americana 'Dr. Emilio Ravignani';05249767, 18502563;"Institute of Argentine and American History Dr. Emilio Ravignani""""";Argentina;http://revistascientificas.filo.uba.ar/index.php/boletin/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/bd1409ae100d4917b6b9c8b42d4979b3;"Coincidencia exacta de ISSN con el registro DOAJ de «Boletín de Historia Argentina y Americana Dr. Emilio Ravignani»; editorial declarada: Universidad de Buenos Aires."
173;Revista de Historia (Brazil);00348309, 23169141;Universidade de Sao Paulo, Faculdade de Filosofia, Letras e Ciencias Humanas;Brazil;https://www.revistas.usp.br/revhistoria;Verificado por ISSN en DOAJ;https://doaj.org/toc/7af3bdd687574a0c8f06263eae294c1e;"Coincidencia exacta de ISSN con el registro DOAJ de «Revista de História»; editorial declarada: Universidade de São Paulo."
174;Anos 90;0104236X, 1983201X;Universidade Federal do Rio Grande do Sul;Brazil;http://seer.ufrgs.br/index.php/anos90;Verificado por ISSN en DOAJ;https://doaj.org/toc/56002fde69914890ad76aa02240f6720;"Coincidencia exacta de ISSN con el registro DOAJ de «Anos 90»; editorial declarada: Universidade Federal do Rio Grande do Sul."
175;Humanidades;15105024, 23011629;Universidad de Montevideo;Uruguay;http://revistas.um.edu.uy/index.php/revistahumanidades/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/db6ad1fe9491453694235f42f1bb48d6;"Coincidencia exacta de ISSN con el registro DOAJ de «Humanidades»; editorial declarada: Universidad de Montevideo."
176;Ideas y Valores;01200062, 20113668;Universidad Nacional de Colombia;Colombia;http://revistas.unal.edu.co/index.php/idval;Verificado por ISSN en DOAJ;https://doaj.org/toc/03cbd6ea94be4c8c93ea1ed305fdf4a2;"Coincidencia exacta de ISSN con el registro DOAJ de «Ideas y Valores»; editorial declarada: Universidad Nacional de Colombia."
179;ARQ;07160852, 07176996;Pontificia Universidad Catolica de Chile;Chile;https://edicionesarq.com/ARQ-Journal;Verificado por ISSN en DOAJ;https://doaj.org/toc/80dd6f06e60643f1836ca82fe91a3c75;"Coincidencia exacta de ISSN con el registro DOAJ de «ARQ»; editorial declarada: Ediciones ARQ."
181;Eidos;16928857, 20117477;Universidad del Norte;Colombia;https://rcientificas.uninorte.edu.co/index.php/eidos;Verificado manualmente;https://rcientificas.uninorte.edu.co/index.php/eidos;"Portal oficial de revistas científicas de la Universidad del Norte; ISSN 1692-8857 y 2011-7477."
183;Revista Latinoamericana de Filosofia Politica;22508619;Center for Philosophical Research;Argentina;http://rlfp.org.ar;Verificado por ISSN en DOAJ;https://doaj.org/toc/a388822353b045acb5b76b5c3574662b;"Coincidencia exacta de ISSN con el registro DOAJ de «Revista Latinoamericana de Filosofía Política»; editorial declarada: Centro de Investigaciones Filosóficas."
185;Revista de Filosofia: Aurora;29651557, 29651565;Pontificia Universidade Catolica do Parana;Brazil;https://periodicos.pucpr.br/aurora;Verificado manualmente;https://periodicos.pucpr.br/aurora;"Portal oficial de periódicos de la Pontifícia Universidade Católica do Paraná; e-ISSN 2965-1565."
187;Cuadernos de Literatura;01228102;Pontificia Universidad Javeriana;Colombia;https://revistas.javeriana.edu.co/index.php/cualit;Verificado manualmente;https://revistas.javeriana.edu.co/index.php/cualit;"Portal oficial de revistas de la Pontificia Universidad Javeriana; ISSN 0122-8102 y 2346-1691."
188;Revista de Historia Regional;14140055;Universidade Estadual de Ponta Grossa, Editora;Brazil;https://revistas.uepg.br/index.php/rhr;Verificado manualmente;https://revistas.uepg.br/index.php/rhr;"Portal oficial de revistas de la Universidade Estadual de Ponta Grossa; ISSN 1414-0055."
189;Analisis Filosofico;03261301, 18519636;Sociedad Argentina de Analisis Filosofico;Argentina;https://analisisfilosofico.org/index.php/af;Verificado por ISSN en DOAJ;https://doaj.org/toc/b5b364fc81f14a0189535ef81d7d934b;"Coincidencia exacta de ISSN con el registro DOAJ de «Análisis Filosófico»; editorial declarada: Sociedad Argentina de Análisis Filosófico (SADAF)."
190;Anales del Instituto de Investigaciones Esteticas;18703062, 01851276;Universidad Nacional Autonoma de Mexico;Mexico;http://www.analesiie.unam.mx;Verificado por ISSN en DOAJ;https://doaj.org/toc/8180eb84da3c46f0a81838b458df5084;"Coincidencia exacta de ISSN con el registro DOAJ de «Anales del Instituto de Investigaciones Estéticas»; editorial declarada: Universidad Nacional Autónoma de México."
192;Revista de Letras;01013505, 19817886;Universidade Estadual Paulista (UNESP);Brazil;https://periodicos.fclar.unesp.br/letras;Verificado manualmente;https://periodicos.fclar.unesp.br/letras;"Portal oficial de periódicos de UNESP; ISSN 0101-3505 y 1981-7886."
193;Fronteiras (Brazil);22389717, 14158701;Federal University of Fronteira Sul;Brazil;https://periodicos.uffs.edu.br/index.php/FRCH;Verificado por ISSN en DOAJ;https://doaj.org/toc/fc300d34b42a4b1f829763ff64729bc2;"Coincidencia exacta de ISSN con el registro DOAJ de «Fronteiras»; editorial declarada: Universidade Federal da Fronteira Sul."
194;Kriterion (Brazil);19815336, 0100512X;Universidade de Minas Gerais;Brazil;https://periodicos.ufmg.br/index.php/kriterion;Verificado por ISSN en DOAJ;https://doaj.org/toc/21060b19053d48d19204c5e5a303c175;"Coincidencia exacta de ISSN con el registro DOAJ de «Kriterion»; editorial declarada: Universidade Federal de Minas Gerais."
195;Resonancias;07195702, 07173474;Pontificia Universidad Catolica de Chile;Chile;https://resonancias.uc.cl/?lang=en;Verificado por ISSN en DOAJ;https://doaj.org/toc/ab6b2c28bb1b44e596ae7b5a1533a935;"Coincidencia exacta de ISSN con el registro DOAJ de «Resonancias»; editorial declarada: Pontificia Universidad Católica de Chile."
200;Alpha;07182201, 07164254;Universidad de los Lagos;Chile;https://revistaalpha.ulagos.cl/;Verificado manualmente;https://revistaalpha.ulagos.cl/;"Sitio oficial de la Universidad de Los Lagos; ISSN 0716-4254 y 0718-2201."
201;Metatheoria;18532322, 18532330;Editorial de la Universidad Nacional de Tres de Febrero (EDUNTREF);Argentina;https://metatheoria.unq.edu.ar/index.php/m;Verificado manualmente;https://metatheoria.unq.edu.ar/index.php/m;"Sitio oficial de la Universidad Nacional de Quilmes; ISSN 1853-2322 y 1853-2330."
