Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
17;21100314717;"Historia 396";journal;"07197969, 07190719";"Pontificia Universidad Catolica de Chile";Yes;Yes;0,251;Q1;9;26;93;1388;26;92;0,30;53,38;23,33;0;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2011-2026";"History (Q1)";"Arts and Humanities"
18;21100202750;"Historia (Chile)";journal;"00732435, 07177194";"Pontificia Universidad Catolica de Chile";Yes;Yes;0,251;Q1;18;19;65;2454;31;64;0,42;129,16;22,22;0;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"1999, 2002, 2007-2025";"Cultural Studies (Q1); History (Q1); History and Philosophy of Science (Q2)";"Arts and Humanities; Social Sciences"
19;100069;"Historia (Brazil)";journal;"01019074, 19804369";"Universidade Estadual Paulista (UNESP)";Yes;Yes;0,247;Q1;10;35;123;2045;22;122;0,23;58,43;21,88;0;Brazil;Latin America;"Universidade Estadual Paulista (UNESP)";"2007-2025";"History (Q1); Cultural Studies (Q2)";"Arts and Humanities; Social Sciences"
20;5700168481;"Revista Brasileira de Politica Internacional";journal;"19833121, 00347329";"INSTBRASILEIRORELACOESINT";Yes;Yes;0,244;Q1;25;25;75;1422;73;74;0,96;56,88;22,86;0;Brazil;Latin America;"INSTBRASILEIRORELACOESINT";"2008-2025";"History (Q1); Political Science and International Relations (Q3)";"Arts and Humanities; Social Sciences"
21;21101146408;"Si Somos Americanos";journal;"07190948, 07182910";"Arturo Prat University";Yes;Yes;0,244;Q1;8;21;47;1303;37;47;0,50;62,05;31,03;0;Chile;Latin America;"Arturo Prat University";"2019-2026";"History (Q1); Cultural Studies (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
22;12100155723;"Andamios";journal;"18700063, 25941917";"Universidad Autonoma de la Ciudad de Mexico";Yes;No;0,244;Q2;17;60;162;2200;58;143;0,25;36,67;38,24;0;Mexico;Latin America;"Universidad Autonoma de la Ciudad de Mexico";"2008-2025";"Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
23;21101279753;"Boletin de Arqueologia PUCP";journal;"10292004, 23044292";"Pontificia Universidad Catolica del Peru";No;No;0,241;Q2;3;13;40;631;18;34;0,43;48,54;46,67;0;Peru;Latin America;"Pontificia Universidad Catolica del Peru";"2021-2025";"Archeology (Q2); Archeology (arts and humanities) (Q2)";"Arts and Humanities; Social Sciences"
24;5800169849;"Colombia Internacional";journal;"19006004, 01215612";"Universidad de los Andes, Colombia";Yes;Yes;0,239;Q1;18;20;85;1414;68;85;0,60;70,70;52,94;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"2011-2026";"History (Q1); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
25;21101142418;"Disena";journal;"07188447, 24524298";"Pontificia Universidad Catolica de Chile";Yes;Yes;0,237;Q2;8;15;57;429;69;51;1,39;28,60;35,29;0;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2019-2025";"Arts and Humanities (miscellaneous) (Q2); Engineering (miscellaneous) (Q3); Human Factors and Ergonomics (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Engineering; Social Sciences"
26;26787;"Boletin de Investigaciones Marinas y Costeras";journal;"25904671, 01229761";"INVEMAR";Yes;Yes;0,236;Q2;18;19;62;919;42;62;0,76;48,37;32,65;0;Colombia;Latin America;"INVEMAR";"1998, 2001-2025";"Conservation (Q2); Museology (Q2); Animal Science and Zoology (Q3); Aquatic Science (Q3); Geography, Planning and Development (Q3); Law (Q3); Management, Monitoring, Policy and Law (Q3); Oceanography (Q3); Water Science and Technology (Q3)";"Agricultural and Biological Sciences; Arts and Humanities; Earth and Planetary Sciences; Environmental Science; Social Sciences"
27;21101123123;"Autoctonia";journal;"07198213";"Universidad Bernardo O'Higgins";Yes;Yes;0,235;Q1;4;71;157;3798;42;150;0,27;53,49;48,36;2;Chile;Latin America;"Universidad Bernardo O'Higgins";"2019-2026";"History (Q1); Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
28;25679;"Historia Mexicana";journal;"01850172";"Colegio de Mexico, A.C., Departamento de Publicaciones";Yes;Yes;0,233;Q1;17;38;100;1450;31;82;0,29;38,16;46,15;0;Mexico;Latin America;"Colegio de Mexico, A.C., Departamento de Publicaciones";"1965, 1976-1977, 1980-1981, 1986-1987, 1999, 2001-2026";"History (Q1)";"Arts and Humanities"
29;21100244946;"Kepes";journal;"17947111";"Universidad de Caldas";Yes;Yes;0,233;Q1;7;20;91;791;37;85;0,34;39,55;48,72;0;Colombia;Latin America;"Universidad de Caldas";"2011-2025";"Visual Arts and Performing Arts (Q1)";"Arts and Humanities"
30;21100900129;"Childhood and Philosophy";journal;"25255061, 19845987";"State Univ of Rio de Janeiro - Center of Childhood and Philosophy Studies";Yes;Yes;0,231;Q2;8;43;118;1654;59;118;0,60;38,47;53,85;0;Brazil;Latin America;"State Univ of Rio de Janeiro - Center of Childhood and Philosophy Studies";"2018-2026";"Philosophy (Q2); Education (Q3); Developmental and Educational Psychology (Q4)";"Arts and Humanities; Psychology; Social Sciences"
31;21100215170;"Palabra Clave";journal;"01228285, 2027534X";"Universidad de La Sabana";Yes;Yes;0,220;Q2;18;39;107;1865;82;103;0,67;47,82;56,98;0;Colombia;Latin America;"Universidad de La Sabana";"2012-2026";"Arts and Humanities (miscellaneous) (Q2); Communication (Q3)";"Arts and Humanities; Social Sciences"
32;21100266725;"Topicos (Mexico)";journal;"01886649, 20078498";"Universidad Panamericana";Yes;Yes;0,220;Q2;7;53;153;2254;29;153;0,21;42,53;21,15;0;Mexico;Latin America;"Universidad Panamericana";"2013-2026";"Philosophy (Q2)";"Arts and Humanities"
33;12100155657;"Mundo Agrario";journal;"15155994";"Universidad Nacional de La Plata";Yes;Yes;0,218;Q1;12;48;79;1961;29;79;0,35;40,85;62,50;0;Argentina;Latin America;"Universidad Nacional de La Plata";"2008-2025";"History (Q1); Agricultural and Biological Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3); Industrial Relations (Q3); Urban Studies (Q3)";"Agricultural and Biological Sciences; Arts and Humanities; Business, Management and Accounting; Social Sciences"
34;21101234844;"Revista Pesquisa Qualitativa";journal;"25258222";"Sociedade de Estudos e Pesquisa Qualitativos";No;No;0,218;Q2;7;90;115;3136;58;114;0,47;34,84;62,84;0;Brazil;Latin America;"Sociedade de Estudos e Pesquisa Qualitativos";"2020-2026";"History and Philosophy of Science (Q2); Education (Q3); Health (social science) (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
35;19900193545;"Boletim do Museu Paraense Emilio Goeldi: Ciencias Humanas";journal;"19818122, 21782547";"Museu Paraense Emilio Goeldi";Yes;Yes;0,216;Q2;20;36;126;1901;50;124;0,31;52,81;46,38;0;Brazil;Latin America;"Museu Paraense Emilio Goeldi";"2011-2025";"Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
36;21100902945;"Fronteras de la Historia";journal;"25394711, 20274688";"Instituto Colombiano de Antropologia e Historia";Yes;Yes;0,214;Q1;6;28;105;1241;43;102;0,34;44,32;46,67;0;Colombia;Latin America;"Instituto Colombiano de Antropologia e Historia";"2018-2026";"History (Q1)";"Arts and Humanities"
37;5800207832;"Estudios de Cultura Maya";journal;"24485179, 01852574";"Universidad Nacional Autonoma de Mexico, Instituto de Investigaciones Filosoficas";Yes;Yes;0,212;Q2;10;22;66;1289;16;66;0,28;58,59;34,78;0;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico, Instituto de Investigaciones Filosoficas";"2013-2025";"Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2); Cultural Studies (Q2)";"Arts and Humanities; Social Sciences"
38;21100996944;"Historia Ambiental Latinoamericana y Caribena";journal;"22372717";"Centro Universitario de Anapolis";Yes;Yes;0,211;Q1;9;49;183;2195;68;168;0,26;44,80;42,65;0;Brazil;Latin America;"Centro Universitario de Anapolis";"2017-2025";"History (Q1); Environmental Science (miscellaneous) (Q4)";"Arts and Humanities; Environmental Science"
39;21100454974;"Bakhtiniana";journal;"21764573";"Pontificia Universidade Catolica de Sao Paulo";Yes;Yes;0,208;Q1;8;47;153;1068;73;138;0,67;22,72;56,94;0;Brazil;Latin America;"Pontificia Universidade Catolica de Sao Paulo";"2015-2026";"Literature and Literary Theory (Q1); Linguistics and Language (Q2); Philosophy (Q2)";"Arts and Humanities; Social Sciences"
40;21101053115;"En-Claves del Pensamiento";journal;"25941100, 1870879X";"Instituto Tecnologico y de Estudios Superiores de Monterrey";Yes;Yes;0,206;Q1;4;20;81;701;25;81;0,27;35,05;42,86;0;Mexico;Latin America;"Instituto Tecnologico y de Estudios Superiores de Monterrey";"2019-2025";"History (Q1); Literature and Literary Theory (Q1); Visual Arts and Performing Arts (Q1); Philosophy (Q2); Religious Studies (Q2)";"Arts and Humanities"
41;21100244898;"Antipoda";journal;"19005407, 20114273";"Universidad de los Andes, Colombia";Yes;Yes;0,205;Q2;12;35;77;1720;36;77;0,58;49,14;40,00;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"2013-2026";"Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2); Cultural Studies (Q2)";"Arts and Humanities; Social Sciences"
42;19700170481;"Bitacora Urbano Territorial";journal;"01247913, 2027145X";"Universidad Nacional de Colombia";Yes;Yes;0,204;Q2;12;39;152;996;65;144;0,28;25,54;45,00;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2009-2026";"Arts and Humanities (miscellaneous) (Q2); Geography, Planning and Development (Q3); Urban Studies (Q3)";"Arts and Humanities; Social Sciences"
43;21100897945;"Educacao and Realidade";journal;"01003143, 21756236";"Universidade Federal do Rio Grande do Sul,Faculdade de Educacao";Yes;Yes;0,204;Q2;9;60;185;2219;62;184;0,26;36,98;55,88;0;Brazil;Latin America;"Universidade Federal do Rio Grande do Sul,Faculdade de Educacao";"2018-2025";"Arts and Humanities (miscellaneous) (Q2); Education (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
