Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
73;21100840368;"Open Insight";journal;"23958936, 20072406";"Centro de Investigacion Social Avanzada";Yes;Yes;0,173;Q2;4;19;74;612;7;65;0,13;32,21;11,11;0;Mexico;Latin America;"Centro de Investigacion Social Avanzada";"2017-2025";"Philosophy (Q2)";"Arts and Humanities"
74;21101048515;"Revista Iberoamericana de Viticultura Agroindustria y Ruralidad";journal;"07194994";"Institute of Advanced Studies, University of Santiago de Chile";Yes;Yes;0,172;Q2;9;62;136;1501;79;136;0,48;24,21;55,85;0;Chile;Latin America;"Institute of Advanced Studies, University of Santiago de Chile";"2019-2026";"Cultural Studies (Q2); History (Q2); Archeology (Q3); Agronomy and Crop Science (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Food Science (Q4); Horticulture (Q4)";"Agricultural and Biological Sciences; Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
75;19900191874;"Musica Hodie";journal;"16763939";"Universidade Federal de Goias";Yes;Yes;0,171;Q2;7;65;132;2709;66;130;0,27;41,68;54,62;0;Brazil;Latin America;"Universidade Federal de Goias";"2010-2016, 2018-2026";"Music (Q2)";"Arts and Humanities"
76;27739;"Atenea";journal;"07161840, 07180462";"Universidad de Concepcion";Yes;Yes;0,169;Q2;10;51;85;1319;15;81;0,10;25,86;53,85;0;Chile;Latin America;"Universidad de Concepcion";"1979, 1984, 2000-2001, 2007-2025";"Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
77;12100154831;"Universum";journal;"0716498X, 07182376";"Universidad de Talca";Yes;Yes;0,169;Q2;17;18;115;603;46;107;0,36;33,50;40,00;0;Chile;Latin America;"Universidad de Talca";"2008-2025";"Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
78;21101196158;"Devenir (Peru)";journal;"26164949, 23127562";"National University of Engineering Faculty of Architecture, Urban Planning and Arts";Yes;Yes;0,168;Q2;4;16;55;471;16;51;0,19;29,44;25,00;0;Peru;Latin America;"National University of Engineering Faculty of Architecture, Urban Planning and Arts";"2019-2025";"History (Q2); Archeology (Q3); Archeology (arts and humanities) (Q3); Architecture (Q3)";"Arts and Humanities; Engineering; Social Sciences"
79;21100847284;"Oido Pensante";journal;"22507116";"CAICYT-CONICET";Yes;Yes;0,168;Q2;6;14;50;400;7;41;0,17;28,57;42,86;0;Argentina;Latin America;"CAICYT-CONICET";"2017-2025";"Music (Q2)";"Arts and Humanities"
80;21101060113;"Boletin de la Academia Peruana de la Lengua";journal;"27082644, 05676002";"Academia Peruana de la Lengua";Yes;Yes;0,166;Q1;6;5;101;136;22;97;0,12;27,20;50,00;0;Peru;Latin America;"Academia Peruana de la Lengua";"2020-2024";"Literature and Literary Theory (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
81;19900191876;"Transinformacao";journal;"01033786";"Pontificia Universidade Catolica de Campinas";Yes;Yes;0,164;Q2;15;31;99;1253;57;99;0,51;40,42;49,32;0;Brazil;Latin America;"Pontificia Universidade Catolica de Campinas";"2010-2025";"Museology (Q2); Communication (Q3); Library and Information Sciences (Q3); Information Systems (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
82;21101196742;"Clio. Revista de Historia, Ciencias Humanas y Pensamiento Critico.";journal;"26609037";"Ediciones Clio";Yes;Yes;0,163;Q2;4;161;99;5774;44;85;0,54;35,86;49,65;0;Mexico;Latin America;"Ediciones Clio";"2021-2026";"Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
83;21100833032;"Opus";journal;"15177017, 01037412";"National Association of Music Research and Postgraduates";Yes;Yes;0,163;Q2;4;48;84;2314;10;82;0,06;48,21;42,31;0;Brazil;Latin America;"National Association of Music Research and Postgraduates";"2017-2025";"Music (Q2)";"Arts and Humanities"
84;21100856605;"Paginas";journal;"1851992X";"Universidad Nacional de Rosario - Facultad de Humanidades y Artes, Escuela de Historia";Yes;Yes;0,163;Q2;4;45;149;1656;25;147;0,20;36,80;44,44;0;Argentina;Latin America;"Universidad Nacional de Rosario - Facultad de Humanidades y Artes, Escuela de Historia";"2017-2025";"History (Q2)";"Arts and Humanities"
85;21101338470;"Revista de Historia de America";journal;"2663371X, 00348325";"Pan-American Institute of Geography and History";Yes;No;0,162;Q2;4;26;75;1172;14;69;0,13;45,08;17,39;0;Mexico;Latin America;"Pan-American Institute of Geography and History";"2021-2026";"History (Q2)";"Arts and Humanities"
86;21100903449;"Revista de la Academia Colombiana de Ciencias Exactas, Fisicas y Naturales";journal;"23824980, 03703908";"Colombian Academy of Exact, Physical and Natural Sciences";Yes;Yes;0,162;Q3;14;68;248;2269;98;217;0,37;33,37;23,81;0;Colombia;Latin America;"Colombian Academy of Exact, Physical and Natural Sciences";"2016-2025";"History and Philosophy of Science (Q3); Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Earth and Planetary Sciences (miscellaneous) (Q4); Energy (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Arts and Humanities; Biochemistry, Genetics and Molecular Biology; Chemistry; Earth and Planetary Sciences; Energy; Mathematics; Physics and Astronomy"
87;5700158136;"Arete";journal;"1016913X, 22233741";"Pontifica Universidad Catolica del Peru";Yes;Yes;0,161;Q2;5;13;79;383;12;78;0,24;29,46;41,67;0;Peru;Latin America;"Pontifica Universidad Catolica del Peru";"2013-2025";"Philosophy (Q2)";"Arts and Humanities"
88;21101196739;"Acervo";journal;"22378723, 0102700X";"Arquivo Nacional";Yes;Yes;0,160;Q2;2;67;177;2459;11;161;0,07;36,70;46,67;0;Brazil;Latin America;"Arquivo Nacional";"2019-2025";"History (Q2); Library and Information Sciences (Q3)";"Arts and Humanities; Social Sciences"
89;21100821156;"Cinta de Moebio";journal;"0717554X";"Universidad de Chile, Facultad de Ciencias Sociales";Yes;Yes;0,160;Q2;9;3;46;30;20;46;0,19;10,00;0,00;0;Chile;Latin America;"Universidad de Chile, Facultad de Ciencias Sociales";"2016-2025";"Philosophy (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
90;21101199377;"Estudios de Historia Novohispana";journal;"24486922, 18709060";"Universidad Nacional Autonoma de Mexico";Yes;Yes;0,160;Q2;5;17;39;736;18;39;0,37;43,29;61,54;0;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1991, 2019-2026";"Arts and Humanities (miscellaneous) (Q2); History (Q2)";"Arts and Humanities"
91;21101045759;"Encuentros (Maracaibo)";journal;"26108046, 23436131";"Universidad Nacional Experimental Rafael Maria Baralt";Yes;Yes;0,157;Q2;6;107;256;3372;100;246;0,46;31,51;45,27;0;Venezuela;Latin America;"Universidad Nacional Experimental Rafael Maria Baralt";"2019-2025";"History (Q2); Philosophy (Q2); Anthropology (Q3); Sociology and Political Science (Q3); Education (Q4); Social Sciences (miscellaneous) (Q4)";"Arts and Humanities; Social Sciences"
92;21101070304;"Anais do Museu Paulista";journal;"01014714, 19820267";"Universidade De Sao Paulo";Yes;Yes;0,155;Q2;5;46;120;2363;21;116;0,11;51,37;45,88;0;Brazil;Latin America;"Universidade De Sao Paulo";"2019-2025";"History (Q2); Museology (Q2); Archeology (arts and humanities) (Q3); Arts and Humanities (miscellaneous) (Q3)";"Arts and Humanities"
93;21101176853;"Projeto Historia";journal;"01024442, 21762767";"Pontifícia Universidade Católica de São Paulo";Yes;Yes;0,155;Q2;3;62;131;2168;16;118;0,16;34,97;47,06;0;Brazil;Latin America;"Pontifícia Universidade Católica de São Paulo";"2019-2025";"History (Q2); Education (Q4)";"Arts and Humanities; Social Sciences"
94;21101186338;"Estudios de Filosofia (Colombia)";journal;"01213628, 2256358X";"Universidad de Antioquia";Yes;Yes;0,154;Q2;5;23;67;754;37;62;0,20;32,78;17,24;0;Colombia;Latin America;"Universidad de Antioquia";"2022-2026";"Philosophy (Q2)";"Arts and Humanities"
95;21100900136;"Perspectiva Teologica";journal;"21768757, 01024469";"Faculdade Jesuita de Filosofia e Teologia";Yes;Yes;0,154;Q2;4;42;134;1279;13;120;0,06;30,45;27,59;0;Brazil;Latin America;"Faculdade Jesuita de Filosofia e Teologia";"2018-2025";"Philosophy (Q2); Religious Studies (Q2); Education (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
96;21101238418;"InfoDesign";journal;"18085377";"Sociedade Brasileira de Design da Informacao";Yes;Yes;0,154;Q3;3;24;85;550;13;76;0,12;22,92;50,00;0;Brazil;Latin America;"Sociedade Brasileira de Design da Informacao";"2021-2025";"Arts and Humanities (miscellaneous) (Q3); Communication (Q4); Computer Graphics and Computer-Aided Design (Q4); Social Sciences (miscellaneous) (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
97;21101197368;"Limite (Chile)";journal;"07185065";"Universidad de Tarapaca";No;No;0,153;Q2;3;25;69;1257;25;69;0,33;50,28;39,06;0;Chile;Latin America;"Universidad de Tarapaca";"2019-2026";"Philosophy (Q2); Psychology (miscellaneous) (Q4)";"Arts and Humanities; Psychology"
98;21101017733;"Topoi (Brazil)";journal;"15183319, 2237101X";"Universidade Federal do Rio de Janeiro";Yes;Yes;0,153;Q2;5;26;139;808;31;136;0,22;31,08;40,91;0;Brazil;Latin America;"Universidade Federal do Rio de Janeiro";"2019-2025";"History (Q2)";"Arts and Humanities"
99;6100153026;"Revista Chilena de Literatura";journal;"00487651, 07182295";"Universidad de Chile, Facultad de Filosofia y Humanidades, Departamento de Literatura";Yes;Yes;0,152;Q1;13;0;153;0;16;146;0,14;0,00;0,00;0;Chile;Latin America;"Universidad de Chile, Facultad de Filosofia y Humanidades, Departamento de Literatura";"2007-2024";"Literature and Literary Theory (Q1)";"Arts and Humanities"
100;21100259543;"Anuario Colombiano de Historia Social y de la Cultura";journal;"01202456, 22565647";"Universidad Nacional de Colombia";Yes;Yes;0,151;Q2;11;41;118;1802;24;114;0,20;43,95;35,14;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2013-2025";"Cultural Studies (Q2); History (Q2)";"Arts and Humanities; Social Sciences"
101;21100373236;"Boletin Cientifico del Centro de Museos";journal;"01233068";"Universidad de Caldas";Yes;No;0,151;Q2;11;10;79;512;21;79;0,18;51,20;38,71;0;Colombia;Latin America;"Universidad de Caldas";"2014-2025";"Museology (Q2); Conservation (Q3)";"Arts and Humanities"
102;21100205962;"Tempo (Brazil)";journal;"14137704";"Universidade Federal Fluminense";Yes;No;0,151;Q2;12;30;129;939;22;128;0,18;31,30;46,15;0;Brazil;Latin America;"Universidade Federal Fluminense";"1999, 2001, 2007-2025";"History (Q2)";"Arts and Humanities"
103;21100202945;"Tempo e Argumento";journal;"21751803";"State University of Santa Catarina";Yes;Yes;0,150;Q2;10;16;117;528;26;104;0,16;33,00;36,84;0;Brazil;Latin America;"State University of Santa Catarina";"2009-2026";"History (Q2)";"Arts and Humanities"
104;21101064979;"Revista Historia Social y de las Mentalidades";journal;"07175248, 07194749";"Universidad de Santiago de Chile";Yes;Yes;0,149;Q2;5;23;66;906;11;60;0,17;39,39;60,00;0;Chile;Latin America;"Universidad de Santiago de Chile";"2019-2025";"History (Q2); Education (Q4)";"Arts and Humanities; Social Sciences"
105;21101023184;"Momento";journal;"01214470, 25008013";"Universidad Nacional de Colombia";Yes;Yes;0,149;Q3;5;12;44;381;18;41;0,25;31,75;25,00;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2019-2026";"History and Philosophy of Science (Q3); Electronic, Optical and Magnetic Materials (Q4); Geophysics (Q4); Physical and Theoretical Chemistry (Q4); Physics and Astronomy (miscellaneous) (Q4)";"Arts and Humanities; Chemistry; Earth and Planetary Sciences; Materials Science; Physics and Astronomy"
106;21100812388;"Revista Criminalidad";journal;"17943108, 22565531";"Policia Nacional de Colombia";Yes;Yes;0,149;Q3;9;26;98;1397;38;94;0,30;53,73;27,27;0;Colombia;Latin America;"Policia Nacional de Colombia";"2015-2025";"Arts and Humanities (miscellaneous) (Q3); Law (Q3); Social Psychology (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Psychology; Social Sciences"
107;21101141651;"Revista Guillermo de Ockham";journal;"1794192X, 22563202";"University of San Buenaventura - Cali";Yes;Yes;0,149;Q3;6;20;108;1022;39;98;0,34;51,10;41,03;0;Colombia;Latin America;"University of San Buenaventura - Cali";"2019-2025";"Arts and Humanities (miscellaneous) (Q3); Psychology (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)";"Arts and Humanities; Psychology; Social Sciences"
108;21101116675;"Prohistoria. Historia, Politicas de la Historia";journal;"18519504";"Scientific Technological Center CONICET-Rosario";Yes;Yes;0,148;Q2;4;10;78;447;11;78;0,06;44,70;23,08;0;Argentina;Latin America;"Scientific Technological Center CONICET-Rosario";"2019-2025";"History (Q2)";"Arts and Humanities"
109;21100944295;"Literatura: Teoria, Historia, Critica";journal;"01235931, 22565450";"Universidad Nacional de Colombia";Yes;Yes;0,146;Q2;4;21;79;548;13;65;0,10;26,10;38,89;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2019-2026";"Literature and Literary Theory (Q2)";"Arts and Humanities"
110;21100207202;"Principia";journal;"14144247, 18081711";"Federal University of Santa Catarina";Yes;Yes;0,146;Q3;8;24;102;1118;22;100;0,23;46,58;10,00;0;Brazil;Latin America;"Federal University of Santa Catarina";"2012-2025";"History and Philosophy of Science (Q3); Philosophy (Q3)";"Arts and Humanities"
111;21101199358;"Poligramas";journal;"25909207";"Universidad del Valle";Yes;Yes;0,145;Q2;2;24;77;469;7;71;0,06;19,54;50,00;0;Colombia;Latin America;"Universidad del Valle";"2019-2026";"Literature and Literary Theory (Q2)";"Arts and Humanities"
112;5100154602;"Mana: Estudos de Antropologia Social";journal;"16784944, 01049313";"Universidade Federal do Rio de Janeiro";Yes;Yes;0,142;Q3;20;0;113;0;36;113;0,15;0,00;0,00;0;Brazil;Latin America;"Universidade Federal do Rio de Janeiro";"2006-2024";"Anthropology (Q3); Arts and Humanities (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
113;21100447122;"Theologica Xaveriana";journal;"01203649, 2011219X";"Pontificia Universidad Javeriana";Yes;Yes;0,141;Q2;6;11;51;412;5;51;0,12;37,45;18,18;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2015-2026";"Religious Studies (Q2)";"Arts and Humanities"
114;20000195064;"Taller de Letras";journal;"07160798";"Pontificia Universidad Catolica de Chile";No;No;0,140;Q2;5;23;79;481;8;76;0,10;20,91;52,38;0;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2011-2025";"Literature and Literary Theory (Q2)";"Arts and Humanities"
115;22811;"Critica-Revista Hispanoamericana de Filosofia";journal;"18704905, 00111503";"Universidad Nacional Autonoma de Mexico, Instituto de Investigaciones Filosoficas";Yes;Yes;0,140;Q3;9;26;35;771;8;34;0,27;29,65;27,59;0;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico, Instituto de Investigaciones Filosoficas";"1977, 2002-2025";"Philosophy (Q3)";"Arts and Humanities"
116;21101028201;"Divergencia";journal;"07192398";"Taller de Historia Politica O.C.F.";No;No;0,138;Q2;4;22;47;908;12;45;0,22;41,27;11,76;0;Chile;Latin America;"Taller de Historia Politica O.C.F.";"2019-2025";"History (Q2); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
117;21100225018;"Ilha do Desterro";journal;"01014846, 21758026";"Universidade Federal de Santa Catarina";Yes;Yes;0,138;Q2;12;55;123;1920;21;119;0,18;34,91;73,91;0;Brazil;Latin America;"Universidade Federal de Santa Catarina";"2012-2025";"Literature and Literary Theory (Q2)";"Arts and Humanities"
118;21100921059;"Prometeica";journal;"18529488";"CONICET - Emiliano Aldegani";Yes;Yes;0,138;Q3;4;70;239;2668;47;221;0,21;38,11;31,00;0;Argentina;Latin America;"CONICET - Emiliano Aldegani";"2019-2026";"History and Philosophy of Science (Q3); Philosophy (Q3)";"Arts and Humanities"
119;19700183029;"Historia Unisinos";journal;"22361782, 15193861";"Universidade do Vale do Rio dos Sinos";No;No;0,137;Q2;8;14;115;605;16;114;0,10;43,21;38,89;0;Brazil;Latin America;"Universidade do Vale do Rio dos Sinos";"2010-2025";"History (Q2)";"Arts and Humanities"
120;21101128566;"Educacion y Humanismo";journal;"26652420, 01242121";"Simon Bolivar University (Barranquilla)";Yes;Yes;0,137;Q3;4;26;69;1274;29;67;0,32;49,00;41,67;0;Colombia;Latin America;"Simon Bolivar University (Barranquilla)";"2022-2026";"Cultural Studies (Q3); History and Philosophy of Science (Q3); Education (Q4); Gender Studies (Q4)";"Arts and Humanities; Social Sciences"
121;21101196035;"Islas";journal;"00471542, 19976720";"Central University Marta Abreu de las Villas";Yes;Yes;0,136;Q2;3;31;100;1228;6;96;0,04;39,61;51,72;0;Cuba;Latin America;"Central University Marta Abreu de las Villas";"2019-2026";"Literature and Literary Theory (Q2); Arts and Humanities (miscellaneous) (Q3); Linguistics and Language (Q3)";"Arts and Humanities; Social Sciences"
122;5600155298;"Trans/Form/Acao";journal;"1980539X, 01013173";"Universidade Estadual Paulista (UNESP)";Yes;Yes;0,136;Q3;8;215;615;3019;178;373;0,31;14,04;29,63;0;Brazil;Latin America;"Universidade Estadual Paulista (UNESP)";"2007-2025";"Philosophy (Q3)";"Arts and Humanities"
123;21100228735;"Aisthesis";journal;"07187181, 05683939";"Pontificia Universidad Catolica de Chile";Yes;Yes;0,135;Q2;6;27;127;819;29;122;0,21;30,33;25,00;0;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2012-2025";"Literature and Literary Theory (Q2); Visual Arts and Performing Arts (Q2); Philosophy (Q3)";"Arts and Humanities"
124;21100371223;"Memorias";journal;"17948886";"Universidad del Norte";Yes;Yes;0,135;Q2;6;18;77;919;18;70;0,24;51,06;51,61;0;Colombia;Latin America;"Universidad del Norte";"2009, 2014-2025";"History (Q2); Archeology (Q3); Archeology (arts and humanities) (Q3)";"Arts and Humanities; Social Sciences"
125;21100942908;"Revista Notas Historicas y Geograficas";journal;"07194404, 0717036X";"Universidad de Playa Ancha -Departamento De Historia";Yes;Yes;0,135;Q2;6;31;118;1228;27;114;0,13;39,61;41,54;0;Chile;Latin America;"Universidad de Playa Ancha -Departamento De Historia";"2019-2025";"History (Q2); Geography, Planning and Development (Q4)";"Arts and Humanities; Social Sciences"
126;21101062042;"Dikaion";journal;"01208942, 20275366";"Universidad de La Sabana";Yes;Yes;0,135;Q3;4;13;53;483;10;45;0,21;37,15;18,18;0;Colombia;Latin America;"Universidad de La Sabana";"2019-2026";"Philosophy (Q3); Law (Q4)";"Arts and Humanities; Social Sciences"
127;21100887850;"Estudos Historicos";journal;"01032186, 21781494";"Fundacao Getulio Vargas";Yes;Yes;0,134;Q2;7;26;102;1124;20;89;0,21;43,23;39,29;0;Brazil;Latin America;"Fundacao Getulio Vargas";"2018-2025";"History (Q2); Literature and Literary Theory (Q2); Cultural Studies (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
128;21100851336;"Manuscrito";journal;"01006045, 2317630X";"Universidade Estadual de Campinas - UNICAMP, Centro de Logica, Epistemologia e Historia da Ciencia";Yes;Yes;0,134;Q3;8;15;74;330;10;71;0,16;22,00;27,27;0;Brazil;Latin America;"Universidade Estadual de Campinas - UNICAMP, Centro de Logica, Epistemologia e Historia da Ciencia";"1997, 2017-2025";"Philosophy (Q3)";"Arts and Humanities"
129;21100244857;"Per Musi";journal;"15177599, 23176377";"Universidade Federal of Minas Gerais";Yes;Yes;0,134;Q3;5;27;83;1067;15;82;0,16;39,52;48,78;0;Brazil;Latin America;"Universidade Federal of Minas Gerais";"2012-2025";"Music (Q3)";"Arts and Humanities"
130;21100200602;"Revista de Humanidades";journal;"07170491";"Universidad Andres Bello";No;No;0,134;Q3;7;36;102;1235;11;98;0,09;34,31;50,00;0;Chile;Latin America;"Universidad Andres Bello";"2011-2026";"Arts and Humanities (miscellaneous) (Q3)";"Arts and Humanities"
131;21101028122;"Esbocos";journal;"1414722X, 21757976";"Universidade Federal de Santa Catarina";Yes;Yes;0,133;Q2;5;9;100;349;9;93;0,12;38,78;40,00;0;Brazil;Latin America;"Universidade Federal de Santa Catarina";"2019-2026";"History (Q2); Anthropology (Q3); History and Philosophy of Science (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
132;24313;"Revista de Historia Americana y Argentina";journal;"05565960, 23141549";"Universidad Nacional de Cuyo";Yes;Yes;0,133;Q2;2;19;52;693;5;50;0,09;36,47;44,44;0;Argentina;Latin America;"Universidad Nacional de Cuyo";"1980, 1983, 1985, 2002, 2021-2025";"History (Q2); Cultural Studies (Q3)";"Arts and Humanities; Social Sciences"
133;12100157018;"Cuadernos de Economia (Colombia)";journal;"22484337, 01214772";"Universidad Nacional de Colombia";Yes;Yes;0,133;Q3;14;46;82;2124;23;82;0,27;46,17;45,45;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2007-2025";"Arts and Humanities (miscellaneous) (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
134;5100155067;"Revista de Estudios Historico-Juridicos";journal;"07176260, 07165455";"Ediciones Universitarias de Valparaiso";Yes;Yes;0,132;Q3;10;0;96;0;10;96;0,02;0,00;0,00;0;Chile;Latin America;"Ediciones Universitarias de Valparaiso";"1997-2024";"History (Q3); Law (Q4)";"Arts and Humanities; Social Sciences"
135;21100903457;"Boletin de Estetica";journal;"16687132, 24084417";"Centro de Investigaciones Filosoficas";No;No;0,131;Q2;2;13;46;547;5;43;0,06;42,08;16,67;0;Argentina;Latin America;"Centro de Investigaciones Filosoficas";"2018-2025";"Visual Arts and Performing Arts (Q2); Philosophy (Q3)";"Arts and Humanities"
136;21101183655;"Cuestiones de Filosofia";journal;"23899441, 01235095";"Universidad Pedagogica y Tecnologica de Colombia";Yes;Yes;0,131;Q3;3;26;60;530;9;52;0,08;20,38;35,00;0;Colombia;Latin America;"Universidad Pedagogica y Tecnologica de Colombia";"2019-2026";"Philosophy (Q3)";"Arts and Humanities"
137;21100886216;"Strategic Design Research Journal";journal;"19842988";"Universidade do Vale do Rio dos Sinos";Yes;Yes;0,130;Q3;13;9;60;136;19;52;0,19;15,11;78,57;0;Brazil;Latin America;"Universidade do Vale do Rio dos Sinos";"2018-2023, 2025";"Arts and Humanities (miscellaneous) (Q3); Engineering (miscellaneous) (Q4); Modeling and Simulation (Q4)";"Arts and Humanities; Engineering; Mathematics"
138;21100842562;"Estudios de Literatura Colombiana";journal;"01234412";"Universidad de Antioquia";Yes;Yes;0,129;Q2;3;26;82;548;12;76;0,19;21,08;41,67;0;Colombia;Latin America;"Universidad de Antioquia";"2017-2026";"Literature and Literary Theory (Q2); Arts and Humanities (miscellaneous) (Q3); History (Q3); Linguistics and Language (Q3); Electrical and Electronic Engineering (Q4)";"Arts and Humanities; Engineering; Social Sciences"
139;21100432208;"Historia Caribe";journal;"23226889, 01228803";"Sello editorial Universidad del Atlantico";Yes;Yes;0,129;Q3;5;20;76;885;8;66;0,10;44,25;37,50;0;Colombia;Latin America;"Sello editorial Universidad del Atlantico";"2015-2025";"History (Q3)";"Arts and Humanities"
140;19400157126;"Secuencia";journal;"23958464, 01860348";"Instituto de Investigaciones Dr. Jose Maria Luis Mora";Yes;Yes;0,127;Q3;6;30;125;1403;24;125;0,23;46,77;30,30;0;Mexico;Latin America;"Instituto de Investigaciones Dr. Jose Maria Luis Mora";"1987, 1989, 2001-2002, 2016-2025";"Cultural Studies (Q3); History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
141;21100800033;"Varia Historia";journal;"01048775, 19824343";"Universidade Federal de Minas Gerais";Yes;Yes;0,127;Q3;8;39;98;1379;11;90;0,11;35,36;33,33;0;Brazil;Latin America;"Universidade Federal de Minas Gerais";"2015-2025";"History (Q3)";"Arts and Humanities"
142;21101032724;"Modulo Arquitectura CUC";journal;"23897732, 01246542";"Universidad de la Costa";No;No;0,126;Q2;4;16;48;742;13;48;0,24;46,38;41,38;0;Colombia;Latin America;"Universidad de la Costa";"2019-2025";"Visual Arts and Performing Arts (Q2); Arts and Humanities (miscellaneous) (Q3); Architecture (Q4); Urban Studies (Q4)";"Arts and Humanities; Engineering; Social Sciences"
143;21100923520;"Avances del Cesor";journal;"15143899, 24226580";"Investigaciones-Sociohistoricas Regionales";Yes;Yes;0,126;Q3;5;7;52;239;4;51;0,09;34,14;25,00;0;Argentina;Latin America;"Investigaciones-Sociohistoricas Regionales";"2019-2025";"History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
144;21101347026;"Politicas de la Memoria";journal;"16684885, 26837234";"Centro de Documentacian e Investigacian de la Cultura de Izquierdas";Yes;No;0,126;Q3;2;35;80;546;6;61;0,08;15,60;34,78;0;Argentina;Latin America;"Centro de Documentacian e Investigacian de la Cultura de Izquierdas";"2021-2025";"Cultural Studies (Q3); History (Q3); History and Philosophy of Science (Q4)";"Arts and Humanities; Social Sciences"
145;21100778081;"Veritas";journal;"07189273, 07174675";"Pontificio Seminario Mayor San Rafael";Yes;No;0,126;Q3;7;4;69;232;18;67;0,26;58,00;40,00;0;Chile;Latin America;"Pontificio Seminario Mayor San Rafael";"2016-2025";"Philosophy (Q3); Religious Studies (Q3)";"Arts and Humanities"
146;5800207821;"Estudios Filologicos";journal;"00711713, 07176171";"Universidad Austral de Chile";Yes;Yes;0,125;Q2;12;13;87;440;19;86;0,21;33,85;50,00;0;Chile;Latin America;"Universidad Austral de Chile";"2007-2025";"Literature and Literary Theory (Q2); Linguistics and Language (Q3)";"Arts and Humanities; Social Sciences"
147;21101101867;"Culturales";journal;"2448539X, 18701191";"Universidad Autonoma de Baja California";Yes;Yes;0,125;Q3;3;11;28;539;12;25;0,15;49,00;50,00;0;Mexico;Latin America;"Universidad Autonoma de Baja California";"2019-2025";"Arts and Humanities (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q4)";"Arts and Humanities; Social Sciences"
148;21100925892;"Revista de Humanidades de Valparaiso";journal;"07194242, 07194234";"Universidad De Valparaíso, Chile";Yes;Yes;0,125;Q3;5;16;107;447;26;103;0,14;27,94;23,53;0;Chile;Latin America;"Universidad De Valparaíso, Chile";"2018-2026";"Philosophy (Q3)";"Arts and Humanities"
149;17900156732;"Topicos";journal;"1666485X";"Asociacion Revista de Filosofia de Santa Fe";Yes;Yes;0,124;Q3;3;31;97;843;7;96;0,06;27,19;33,33;0;Argentina;Latin America;"Asociacion Revista de Filosofia de Santa Fe";"2008-2025";"Philosophy (Q3)";"Arts and Humanities"
150;21100856632;"Zaranda de Ideas";journal;"24083801, 18531296";"Asociacion de Arqueologos Profesionales de la Republica Argentina";Yes;Yes;0,124;Q3;6;4;17;157;2;17;0,00;39,25;25,00;0;Argentina;Latin America;"Asociacion de Arqueologos Profesionales de la Republica Argentina";"2013-2022, 2024";"Archeology (Q3); Archeology (arts and humanities) (Q3); Anthropology (Q4)";"Arts and Humanities; Social Sciences"
